Domain,Pad Name,Type,Multiple,Is Static,Default Port,Description,pad2chip,chip2pad,input_en,pu_en,pd_en,schmitt_en,output_en,drive_strength,slew_en
domain_1v8,config_tc_pad,CONFIG_TC_PAD_DEF,1,true,,Config pad definition,,,,,,,,,
domain_1v8,corner_{i},PAD_CORNER,4,true,,Corner pad,,,,,,,,,
domain_1v8,vdd_io_{i}_h,PAD_VDD_IO_H,2,true,,I/O VDD Supply,,,,,,,,,
domain_1v8,vss_io_{i}_h,PAD_VSS_IO_H,2,true,,I/O VSS Supply,,,,,,,,,
domain_1v8,vdd_core_{i}_h,PAD_VDD_CORE_H,3,true,,Core VDD Supply,,,,,,,,,
domain_1v8,vss_core_{i}_h,PAD_VSS_CORE_H,2,true,,Core VSS Supply,,,,,,,,,
domain_1v8,PAD_CLK,PAD_INPUT_H,1,true,,Global Clock,ref_clk_i,,1'b1,1'b0,1'b0,1'b1,,,
domain_1v8,PAD_RST_N,PAD_INPUT_H,1,true,,Global Reset (Active Low),pwr_on_rst_ni,,1'b1,1'b0,1'b0,1'b1,,,
domain_1v8,PAD_ETH_MDIO,PAD_BIDIR_H,1,true,,Ethernet MDIO,ethernet_phy_mdio_i,ethernet_phy_mdio_o,1'b1,1'b0,1'b0,1'b1,ethernet_phy_mdio_oe,,
domain_1v8,PAD_SPI_SCK,PAD_BIDIR_H,1,true,,Host SPI SCK,,spi_sck_o,1'b1,1'b0,1'b0,1'b1,spi_sck_en_o,,
domain_1v8,PAD_SPI_CSB,PAD_BIDIR_H,1,true,,Host SPI CSB,,spi_csb_o,1'b1,1'b0,1'b0,1'b1,spi_csb_en_o,,
domain_1v8,PAD_SPI_SD_{i},PAD_BIDIR_H,4,true,,Host SPI SD {i},spi_sd_i_{i},spi_sd_o_{i},1'b1,1'b0,1'b0,1'b1,spi_sd_en_o_{i},,
domain_1v8,PAD_HYPERBUS_CK_{i},PAD_OUTPUT_H,2,true,,Hyperbus CK {i},,hyperbus_ck_o_{i},,,,,1'b1,,
domain_1v8,PAD_HYPERBUS_CK_NO_{i},PAD_OUTPUT_H,2,true,,Hyperbus CK_NO {i},,hyperbus_ck_no_{i},,,,,1'b1,,
domain_1v8,PAD_HYPERBUS_CS_{i},PAD_OUTPUT_H,2,true,,Hyperbus CS {i},,hyperbus_cs_no_{i}_0,,,,,1'b1,,
domain_1v8,PAD_HYPERBUS_RWDS_{i},PAD_BIDIR_H,2,true,,Hyperbus RWDS {i},hyperbus_rwds_i_{i},hyperbus_rwds_o_{i},1'b1,1'b0,1'b0,1'b1,hyperbus_rwds_oe_o_{i},,
domain_1v8,PAD_HYPERBUS_DQ_0_{i},PAD_BIDIR_H,8,true,,Hyperbus DQ 0 {i},hyperbus_dq_i_0_{i},hyperbus_dq_o_0_{i},1'b1,1'b0,1'b0,1'b1,hyperbus_dq_oe_o_0,,
domain_1v8,PAD_HYPERBUS_DQ_1_{i},PAD_BIDIR_H,8,true,,Hyperbus DQ 1 {i},hyperbus_dq_i_1_{i},hyperbus_dq_o_1_{i},1'b1,1'b0,1'b0,1'b1,hyperbus_dq_oe_o_1,,
